imagen_idx,paso_mean_px,paso_std_px,r_opt_pix,delta_y_um,err_delta_y_um,a_um,err_a_um,n_peaks
1,67.8462,3.8400,10.8421,2841.1287,160.8082,117.2509,6.6686,14
4,69.0714,2.5764,3.4737,2892.4384,107.8956,115.1710,4.3440,15
7,68.0000,3.8644,10.8421,2847.5712,161.8288,116.9857,6.6804,16
10,64.1875,3.5394,10.8421,2687.9188,148.2203,123.9342,6.8691,17
13,61.2353,3.1535,10.8421,2564.2920,132.0610,129.9091,6.7295,18
16,54.4444,2.7126,10.8421,2279.9181,113.5956,146.1127,7.3256,19
19,57.2353,1.9260,3.4737,2396.7879,80.6581,138.9881,4.7412,18
22,58.4500,3.0079,7.8947,2447.6549,125.9634,136.0997,7.0452,21
25,62.7059,3.9372,12.3158,2625.8745,164.8790,126.8625,7.9971,18
28,66.8750,3.6207,10.8421,2800.4606,151.6246,118.9536,6.4746,17
