imagen_idx,paso_mean_px,paso_std_px,error_total_px,r_opt_pix,delta_y_um,err_delta_y_um,a_um,err_a_um,n_peaks
1,72.3529,5.8706,5.8707,2.2105,3029.8552,245.8431,109.9475,8.9423,18
4,68.2778,3.6485,3.6486,2.0000,2859.2034,152.7952,116.5097,6.2601,19
7,68.3889,5.4481,5.4482,2.4737,2863.8563,228.1524,116.3204,9.2895,19
10,65.0526,4.8392,4.8393,2.4737,2724.1471,202.6548,122.2860,9.1227,20
13,61.9500,4.8112,4.8113,2.5789,2594.2211,201.4793,128.4104,9.9987,21
16,56.5909,3.2286,3.2286,2.0000,2369.8036,135.2063,140.5707,8.0584,23
19,56.4545,3.1727,3.1728,2.0000,2364.0932,132.8681,140.9103,7.9585,23
22,59.0952,3.9989,3.9989,2.4211,2474.6750,167.4631,134.6136,9.1404,22
25,65.1053,4.1154,4.1155,2.1053,2726.3511,172.3431,122.1871,7.7540,20
28,68.4444,6.3440,6.3441,2.7368,2866.1828,265.6690,116.2260,10.7926,19
