imagen_idx,paso_mean_px,paso_std_px,error_total_px,r_opt_pix,delta_y_um,err_delta_y_um,a_um,err_a_um,n_peaks
1,68.5000,5.3359,5.3360,3.6842,2868.5092,223.4544,116.1318,9.0698,19
4,69.1429,2.5595,2.5597,3.6842,2895.4295,107.1953,115.0520,4.3077,15
7,68.3889,4.4113,4.4114,4.7368,2863.8563,184.7371,116.3204,7.5315,19
10,64.6667,4.0961,4.0962,4.7368,2707.9844,171.5347,123.0159,7.8225,19
13,61.7500,3.9099,3.9100,4.5263,2585.8459,163.7393,128.8263,8.1891,21
16,56.5909,3.2286,3.2286,2.0000,2369.8036,135.2063,140.5707,8.0584,23
19,57.1667,1.8333,1.8335,3.8947,2393.9140,76.7858,139.1550,4.5306,19
22,58.8000,3.4293,3.4294,4.7368,2462.3116,143.6123,135.2895,7.9267,21
25,61.9500,3.9176,3.9177,5.7895,2594.2211,164.0603,128.4104,8.1524,21
28,68.2222,4.9279,4.9280,4.5263,2856.8770,206.3669,116.6046,8.4481,19
