imagen_idx,paso_mean_px,paso_std_px,error_total_px,r_opt_pix,delta_y_um,err_delta_y_um,a_um,err_a_um,n_peaks
1,68.5714,3.4375,3.4376,9.1579,2871.5004,143.9585,116.0108,5.8520,15
4,68.7857,2.6235,2.6236,4.5263,2880.4738,109.8743,115.6494,4.4584,15
7,68.4000,3.2208,3.2209,8.7368,2864.3216,134.8836,116.3015,5.5151,16
10,64.2500,2.9047,2.9049,10.0000,2690.5360,121.6494,123.8136,5.6406,17
13,61.4118,2.7666,2.7667,8.7368,2571.6819,115.8636,129.5358,5.8807,18
16,54.5000,2.3629,2.3630,9.5789,2282.2446,98.9585,145.9638,6.3813,19
19,56.9412,1.7977,1.7979,4.9474,2384.4714,75.2951,139.7060,4.4800,18
22,58.3500,2.7618,2.7619,7.8947,2443.4673,115.6620,136.3329,6.4981,21
25,62.7222,3.2797,3.2798,8.7368,2626.5587,137.3480,126.8295,6.6699,19
28,67.4667,3.3440,3.3441,9.5789,2825.2373,140.0428,117.9104,5.8816,16
